section,bucket,group_A,group_B
Candytuft,55,16311,20480
Candytuft,56,8248,6360
Candytuft,57,4886,4110
Candytuft,58,4500,3830
Candytuft,59,3886,3480
Candytuft,60,6466,6890
Candytuft,61,2484,2400
Candytuft,62,2254,3820
Candytuft,63,4094,4340
Candytuft,64,8734,9030
Candytuft,65,6067,4460
Candytuft,66,5588,8920
Candytuft,67,3165,2100
Candytuft,68,5936,3900
Candytuft,69,3266,2280
Candytuft,70,3580,3530
Candytuft,71,3117,2540
Candytuft,72,5123,5870
Candytuft,73,7168,9880
Candytuft,74,2956,2310
Candytuft,75,1974,2750
Candytuft,76,2274,1780
Candytuft,77,2578,2560
Candytuft,78,2618,1560
Candytuft,79,1084,1310
Candytuft,80,2100,2060
Candytuft,81,4141,3670
Candytuft,82,2500,2120
Candytuft,83,1605,2880
Candytuft,84,1124,1260
Candytuft,85,1407,1430
Candytuft,86,1362,1930
Candytuft,87,3810,1340
Candytuft,88,1575,3330
Candytuft,89,1491,1200
Candytuft,90,4810,5610
Candytuft,91,3129,1740
Candytuft,92,2570,4160
Candytuft,93,1289,1420
Candytuft,94,2188,670
Candytuft,95,2521,1130
Candytuft,96,1066,1700
Candytuft,97,889,730
Candytuft,98,825,1210
Candytuft,99,1352,1620
Candytuft,100,1177,1390
Candytuft,101,1037,1510
Candytuft,102,753,960
Candytuft,103,704,1190
Candytuft,104,729,350
Candytuft,105,1304,990
Candytuft,106,908,630
Candytuft,107,1003,730
Candytuft,108,1600,2170
Candytuft,109,2789,2800
Candytuft,110,1991,490
Candytuft,111,997,2310
Candytuft,112,1100,1850
Candytuft,113,1217,1220
Candytuft,114,678,360
Candytuft,115,1722,1510
Candytuft,116,739,750
Candytuft,117,1135,1460
Candytuft,118,673,860
Candytuft,119,719,740
Candytuft,120,1911,2160
Candytuft,121,1654,1270
Candytuft,122,692,400
Candytuft,123,505,780
Candytuft,124,571,760
Candytuft,125,819,740
Candytuft,126,610,490
Candytuft,127,569,330
Candytuft,128,890,940
Candytuft,129,566,610
Candytuft,130,799,890
Candytuft,131,959,1230
Candytuft,132,931,930
Candytuft,133,480,980
Candytuft,134,826,310
Candytuft,135,924,1040
Candytuft,136,375,190
Candytuft,137,853,420
Candytuft,138,611,540
Candytuft,139,925,1520
Candytuft,140,578,740
Candytuft,141,793,420
Candytuft,142,803,610
Candytuft,143,551,610
Candytuft,144,1303,1530
Candytuft,145,1656,470
Candytuft,146,3089,4690
Candytuft,147,378,540
Candytuft,148,619,450
Candytuft,149,439,320
Candytuft,150,419,430
Candytuft,151,810,400
Candytuft,152,589,500
Candytuft,153,210,200
Candytuft,154,181,230
Candytuft,155,257,410
Candytuft,156,173,630
Candytuft,157,354,620
Candytuft,158,380,460
Candytuft,159,281,80
Candytuft,160,311,520
Candytuft,161,272,150
Candytuft,162,464,260
Candytuft,163,397,570
Candytuft,164,856,1190
Candytuft,165,632,170
Candytuft,166,149,160
Candytuft,167,164,170
Candytuft,168,476,640
Candytuft,169,1188,1260
Candytuft,170,158,170
Candytuft,171,124,170
Candytuft,172,324,500
Candytuft,173,145,130
Candytuft,174,132,130
Candytuft,175,163,200
Candytuft,176,96,100
Candytuft,177,157,260
Candytuft,178,236,210
Candytuft,179,720,600
Candytuft,180,2037,2330
Candytuft,181,728,610
Candytuft,182,582,490
Candytuft,183,761,880
Candytuft,184,396,120
Candytuft,185,391,350
Candytuft,186,721,810
Candytuft,187,1438,1920
Candytuft,188,325,100
Candytuft,189,114,130
Candytuft,190,172,160
Candytuft,191,117,170
Candytuft,192,180,160
Candytuft,193,109,160
Candytuft,194,87,70
Candytuft,195,111,290
Candytuft,196,885,960
Candytuft,197,746,410
Candytuft,198,215,270
Candytuft,199,454,240
Candytuft,200,27062,27600
Celosia,0,0,0
Celosia,1,2573,3090
Celosia,2,13014,18970
Celosia,3,11002,16870
Celosia,4,13434,13440
Celosia,5,20563,16030
Celosia,6,18068,15840
Celosia,7,31832,23090
Celosia,8,18064,23160
Celosia,9,36370,29440
Celosia,10,33584,30440
Celosia,11,14902,19880
Celosia,12,21944,21340
Celosia,13,6510,18010
Celosia,14,41469,26240
Celosia,15,16753,22190
Celosia,16,14723,20280
Celosia,17,22309,19560
Celosia,18,28945,36610
Celosia,19,20132,14170
Celosia,20,5476,13800
Celosia,21,31742,11880
Celosia,22,13431,16080
Celosia,23,9763,17550
Celosia,24,11506,19700
Celosia,25,21812,9960
Celosia,26,10355,9800
Celosia,27,18558,25900
Celosia,28,16066,16050
Celosia,29,11367,7800
Celosia,30,14186,16160
Celosia,31,9989,6860
Celosia,32,12103,11990
Celosia,33,4792,6630
Celosia,34,7685,7870
Celosia,35,6810,7250
Celosia,36,12457,15060
Celosia,37,6748,14530
Celosia,38,10877,5050
Celosia,39,7595,7500
Celosia,40,11077,8710
Celosia,41,8375,8380
Celosia,42,2422,3760
Celosia,43,3066,3940
Celosia,44,5655,6080
Celosia,45,11854,11020
Celosia,46,9269,10260
Celosia,47,6578,2330
Celosia,48,3356,4300
Celosia,49,1301,3680
Celosia,50,4792,4230
Celosia,51,4869,4810
Celosia,52,1056,2510
Celosia,53,2513,4320
Celosia,54,8115,8530
Celosia,55,9454,8020
Celosia,56,3313,1730
Celosia,57,2298,2870
Celosia,58,2232,1900
Celosia,59,2055,2100
Celosia,60,2286,3510
Celosia,61,1507,1210
Celosia,62,1244,1700
Celosia,63,4213,2260
Celosia,64,5908,5160
Celosia,65,2212,2700
Celosia,66,3039,3300
Celosia,67,447,1270
Celosia,68,1671,1540
Celosia,69,1085,1030
Celosia,70,979,1840
Celosia,71,1481,1210
Celosia,72,2599,2440
Celosia,73,4668,4960
Celosia,74,1916,1080
Celosia,75,526,860
Celosia,76,1823,1180
Celosia,77,1204,1380
Celosia,78,459,1150
Celosia,79,609,700
Celosia,80,1331,1120
Celosia,81,1997,1980
Celosia,82,1423,910
Celosia,83,1088,1690
Celosia,84,778,810
Celosia,85,573,850
Celosia,86,459,710
Celosia,87,664,580
Celosia,88,730,1090
Celosia,89,414,410
Celosia,90,3108,3090
Celosia,91,1127,910
Celosia,92,2252,1860
Celosia,93,667,750
Celosia,94,562,490
Celosia,95,583,640
Celosia,96,1063,950
Celosia,97,410,490
Celosia,98,576,590
Celosia,99,600,920
Celosia,100,812,780
Celosia,101,424,750
Celosia,102,494,480
Celosia,103,737,490
Celosia,104,113,200
Celosia,105,489,560
Celosia,106,506,330
Celosia,107,415,590
Celosia,108,1327,910
Celosia,109,651,770
Celosia,110,552,310
Celosia,111,945,1300
Celosia,112,740,830
Celosia,113,587,530
Celosia,114,158,390
Celosia,115,425,540
Celosia,116,1092,370
Celosia,117,317,710
Celosia,118,233,560
Celosia,119,580,190
Celosia,120,963,1100
Celosia,121,406,540
Celosia,122,404,360
Celosia,123,119,110
Celosia,124,433,460
Celosia,125,622,370
Celosia,126,287,340
Celosia,127,145,180
Celosia,128,518,510
Celosia,129,123,270
Celosia,130,929,400
Celosia,131,425,540
Celosia,132,286,470
Celosia,133,115,170
Celosia,134,227,210
Celosia,135,675,690
Celosia,136,149,130
Celosia,137,143,120
Celosia,138,453,460
Celosia,139,678,840
Celosia,140,106,170
Celosia,141,285,210
Celosia,142,474,180
Celosia,143,695,230
Celosia,144,751,690
Celosia,145,175,340
Celosia,146,1912,2220
Celosia,147,143,190
Celosia,148,138,170
Celosia,149,194,150
Celosia,150,251,310
Celosia,151,104,240
Celosia,152,267,230
Celosia,153,115,170
Celosia,154,25,130
Celosia,155,221,220
Celosia,156,58,120
Celosia,157,179,270
Celosia,158,333,190
Celosia,159,239,60
Celosia,160,424,320
Celosia,161,40,40
Celosia,162,253,120
Celosia,163,266,460
Celosia,164,448,510
Celosia,165,116,100
Celosia,166,63,100
Celosia,167,51,90
Celosia,168,257,530
Celosia,169,81,220
Celosia,170,561,80
Celosia,171,57,90
Celosia,172,112,190
Celosia,173,69,80
